;;;;Champion;NAME S1;;S1I1;S1I2;S1I3;NAME S2;;S2I1;S2I2;S2I3;NAME S3;;S3I1;S3I2;S3I3;ID S1I1;ID S1I2;ID S1I3;CONC;ID S2I1;ID S2I2;ID S2I3;CONC;ID S3I1;ID S3I2;ID S3I3;CONC;CODE_EN;JSON_EN;CODE_PT;JSON_PT;;
;;;;Lulu;"""Mana Generation / Mana Generation / Attack Speed""";"""Geração de Mana / Geração de Mana / Velocidade de Ataque""";Spear of Shojin;Spear of Shojin;Guinsoo's Rageblade;"""Mana Generation / Attack Speed / Attack Speed""";"""Geração de Mana / Velocidade de Ataque / Velocidade de Ataque""";Seraph's Embrace;Guinsoo's Rageblade;Guinsoo's Rageblade;"""Attack Speed / Mana Generation / Revive""";"""Velocidade de Ataque / Geração de Mana / Reviver""";Guinsoo's Rageblade;Spear of Shojin;Guardian Angel;14;14;23;[14,14,23];44;23;23;[44,23,23];23;14;15;[23,14,15];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Speed"",
          ""items"": [44,23,23]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Revive"",
          ""items"": [23,14,15]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Speed"",
          ""items"": [44,23,23]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Revive"",
          ""items"": [23,14,15]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Velocidade de Ataque"",
          ""items"": [44,23,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Reviver"",
          ""items"": [23,14,15]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Velocidade de Ataque"",
          ""items"": [44,23,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Reviver"",
          ""items"": [23,14,15]
        }
      ]";;
;;;;Miss Fortune;"""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)""";"""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)""";Seraph's Embrace;Seraph's Embrace;Morellonomicon;"""Attack Speed / Mana Generation / Mana Generation""";"""Velocidade de Ataque / Geração de Mana / Geração de Mana""";Guinsoo's Rageblade;Spear of Shojin;Spear of Shojin;"""Attack Speed / True Damage (Max Health) / Debuffer (Prevent Mana)""";"""Velocidade de Ataque / Dano Verdadeiro (Vida Máxima) / Debuffer (Impede de Ganhar mana)""";Guinsoo's Rageblade;giant slayer;hush;44;44;37;[44,44,37];23;14;14;[23,14,14];23;12;46;[23,12,46];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Mana Generation"",
          ""items"": [23,14,14]
        },
        {
          ""name"": ""Attack Speed / True Damage (Max Health) / Debuffer (Prevent Mana)"",
          ""items"": [23,12,46]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Mana Generation"",
          ""items"": [23,14,14]
        },
        {
          ""name"": ""Attack Speed / True Damage (Max Health) / Debuffer (Prevent Mana)"",
          ""items"": [23,12,46]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Geração de Mana"",
          ""items"": [23,14,14]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Verdadeiro (Vida Máxima) / Debuffer (Impede de Ganhar mana)"",
          ""items"": [23,12,46]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Geração de Mana"",
          ""items"": [23,14,14]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Verdadeiro (Vida Máxima) / Debuffer (Impede de Ganhar mana)"",
          ""items"": [23,12,46]
        }
      ]";;
;;;;Mordekaiser;"""Debuffer (Slow) / Magic Resistance / Revive""";"""Debuffer (Lentidão) / Resistência Mágica / Reviver""";Frozen Heart;Dragon's Claw;Guardian Angel;"""Magic Resistance / Debuffer (attack speed) / HP Regeneration""";"""Resistência Mágica / Debuffer (velocidade de ataque) / Regeneração de Vida""";Dragon's Claw;Iceborn Gauntlet;Warmog's Armor;"""Debuffer (Slow) / HP Regeneration / Dodge Critical Damage""";"""Debuffer (Lentidão) / Regeneração de Vida / Esquiva Dano Crítico""";Frozen Heart;Warmog's Armor;Phantom Dancer;45;66;15;[45,66,15];66;59;77;[66,59,77];45;77;25;[45,77,25];"""bestSets"": [
        {
          ""name"": ""Debuffer (Slow) / Magic Resistance / Revive"",
          ""items"": [45,66,15]
        },
        {
          ""name"": ""Magic Resistance / Debuffer (attack speed) / HP Regeneration"",
          ""items"": [66,59,77]
        },
        {
          ""name"": ""Debuffer (Slow) / HP Regeneration / Dodge Critical Damage"",
          ""items"": [45,77,25]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (Slow) / Magic Resistance / Revive"",
          ""items"": [45,66,15]
        },
        {
          ""name"": ""Magic Resistance / Debuffer (attack speed) / HP Regeneration"",
          ""items"": [66,59,77]
        },
        {
          ""name"": ""Debuffer (Slow) / HP Regeneration / Dodge Critical Damage"",
          ""items"": [45,77,25]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (Lentidão) / Resistência Mágica / Reviver"",
          ""items"": [45,66,15]
        },
        {
          ""name"": ""Resistência Mágica / Debuffer (velocidade de ataque) / Regeneração de Vida"",
          ""items"": [66,59,77]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Regeneração de Vida / Esquiva Dano Crítico"",
          ""items"": [45,77,25]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (Lentidão) / Resistência Mágica / Reviver"",
          ""items"": [45,66,15]
        },
        {
          ""name"": ""Resistência Mágica / Debuffer (velocidade de ataque) / Regeneração de Vida"",
          ""items"": [66,59,77]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Regeneração de Vida / Esquiva Dano Crítico"",
          ""items"": [45,77,25]
        }
      ]";;
;;;;Morgana;"""Burn Damage / Debuffer (Prevent Heal) / Revive / Magic Resistance""";"""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Resistência Mágica""";Morellonomicon;Guardian Angel;Dragon's Claw;"""Mana Generation / Burn Damage / Debuffer (Prevent Heal) / Splash Damage""";"""Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura) / Dano em área""";Seraph's Embrace;Morellonomicon;Luden's Echo;"""Mana Generation / Burn Damage / Debuffer (Prevent Heal) / Area Heal""";"""Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura) / Cura em Área""";Seraph's Embrace;Morellonomicon;redemption;37;15;66;[37,15,66];44;37;34;[44,37,34];44;37;47;[44,37,47];"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Revive / Magic Resistance"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Mana Generation / Burn Damage / Debuffer (Prevent Heal) / Splash Damage"",
          ""items"": [44,37,34]
        },
        {
          ""name"": ""Mana Generation / Burn Damage / Debuffer (Prevent Heal) / Area Heal"",
          ""items"": [44,37,47]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Revive / Magic Resistance"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Mana Generation / Burn Damage / Debuffer (Prevent Heal) / Splash Damage"",
          ""items"": [44,37,34]
        },
        {
          ""name"": ""Mana Generation / Burn Damage / Debuffer (Prevent Heal) / Area Heal"",
          ""items"": [44,37,47]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Resistência Mágica"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura) / Dano em área"",
          ""items"": [44,37,34]
        },
        {
          ""name"": ""Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura) / Cura em Área"",
          ""items"": [44,37,47]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Resistência Mágica"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura) / Dano em área"",
          ""items"": [44,37,34]
        },
        {
          ""name"": ""Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura) / Cura em Área"",
          ""items"": [44,37,47]
        }
      ]";;
;;;;Nidalee;"""Attack Speed / Revive / Magic Resistance""";"""Velocidade de Ataque / Reviver / Resistência Mágica""";Guinsoo's Rageblade;Guardian Angel;Dragon's Claw;"""Attack Speed / Attack Speed / Buffer (Double Range) / Life Steal""";"""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Roubo de Vida""";Guinsoo's Rageblade;Rapid Firecannon;The Bloodthirster;"""Attack Speed / Critical Damage / Critical Chance / Life Steal""";"""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Roubo de Vida""";Guinsoo's Rageblade;Infinity Edge;The Bloodthirster;23;15;66;[23,15,66];23;22;16;[23,22,16];23;19;16;[23,19,16];"""bestSets"": [
        {
          ""name"": ""Attack Speed / Revive / Magic Resistance"",
          ""items"": [23,15,66]
        },
        {
          ""name"": ""Attack Speed / Attack Speed / Buffer (Double Range) / Life Steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / Life Steal"",
          ""items"": [23,19,16]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Attack Speed / Revive / Magic Resistance"",
          ""items"": [23,15,66]
        },
        {
          ""name"": ""Attack Speed / Attack Speed / Buffer (Double Range) / Life Steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / Life Steal"",
          ""items"": [23,19,16]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Reviver / Resistência Mágica"",
          ""items"": [23,15,66]
        },
        {
          ""name"": ""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Roubo de Vida"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Roubo de Vida"",
          ""items"": [23,19,16]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Reviver / Resistência Mágica"",
          ""items"": [23,15,66]
        },
        {
          ""name"": ""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Roubo de Vida"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Roubo de Vida"",
          ""items"": [23,19,16]
        }
      ]";;
;;;;Pantheon;"""Mana Generation / Mana Generation / HP Regeneration""";"""Geração de Mana / Geração de Mana / Regeneração de Vida""";Spear of Shojin;Spear of Shojin;Warmog's Armor;"""HP Regeneration / HP Regeneration / Splash Damage""";"""Regeneração de Vida / Regeneração de Vida / Dano em área""";Warmog's Armor;Warmog's Armor;Titanic Hydra;"""Reflect Damage / Reflect Damage / HP Regeneration""";"""Reflete Dano / Reflete Dano / Regeneração de Vida""";thornmail;thornmail;Warmog's Armor;14;14;77;[14,14,77];77;77;27;[77,77,27];55;55;77;[55,55,77];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / HP Regeneration"",
          ""items"": [14,14,77]
        },
        {
          ""name"": ""HP Regeneration / HP Regeneration / Splash Damage"",
          ""items"": [77,77,27]
        },
        {
          ""name"": ""Reflect Damage / Reflect Damage / HP Regeneration"",
          ""items"": [55,55,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / HP Regeneration"",
          ""items"": [14,14,77]
        },
        {
          ""name"": ""HP Regeneration / HP Regeneration / Splash Damage"",
          ""items"": [77,77,27]
        },
        {
          ""name"": ""Reflect Damage / Reflect Damage / HP Regeneration"",
          ""items"": [55,55,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Regeneração de Vida"",
          ""items"": [14,14,77]
        },
        {
          ""name"": ""Regeneração de Vida / Regeneração de Vida / Dano em área"",
          ""items"": [77,77,27]
        },
        {
          ""name"": ""Reflete Dano / Reflete Dano / Regeneração de Vida"",
          ""items"": [55,55,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Regeneração de Vida"",
          ""items"": [14,14,77]
        },
        {
          ""name"": ""Regeneração de Vida / Regeneração de Vida / Dano em área"",
          ""items"": [77,77,27]
        },
        {
          ""name"": ""Reflete Dano / Reflete Dano / Regeneração de Vida"",
          ""items"": [55,55,77]
        }
      ]";;
;;;;Poppy;"""Reflect Damage / Magic Resistance / HP Regeneration""";"""Reflete Dano / Resistência Mágica / Regeneração de Vida""";Thornmail;Dragon's Claw;Warmog's Armor;"""Reflect Damage / Revive / HP Regeneration""";"""Reflete Dano / Reviver / Regeneração de Vida""";Thornmail;Guardian Angel;Warmog's Armor;"""Debuffer (attack speed) / Magic Resistance / HP Regeneration""";"""Debuffer (velocidade de ataque) / Resistência Mágica / Regeneração de Vida""";Iceborn Gauntlet;Dragon's Claw;Warmog's Armor;55;66;77;[55,66,77];55;15;77;[55,15,77];59;66;77;[59,66,77];"""bestSets"": [
        {
          ""name"": ""Reflect Damage / Magic Resistance / HP Regeneration"",
          ""items"": [55,66,77]
        },
        {
          ""name"": ""Reflect Damage / Revive / HP Regeneration"",
          ""items"": [55,15,77]
        },
        {
          ""name"": ""Debuffer (attack speed) / Magic Resistance / HP Regeneration"",
          ""items"": [59,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reflect Damage / Magic Resistance / HP Regeneration"",
          ""items"": [55,66,77]
        },
        {
          ""name"": ""Reflect Damage / Revive / HP Regeneration"",
          ""items"": [55,15,77]
        },
        {
          ""name"": ""Debuffer (attack speed) / Magic Resistance / HP Regeneration"",
          ""items"": [59,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reflete Dano / Resistência Mágica / Regeneração de Vida"",
          ""items"": [55,66,77]
        },
        {
          ""name"": ""Reflete Dano / Reviver / Regeneração de Vida"",
          ""items"": [55,15,77]
        },
        {
          ""name"": ""Debuffer (velocidade de ataque) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [59,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reflete Dano / Resistência Mágica / Regeneração de Vida"",
          ""items"": [55,66,77]
        },
        {
          ""name"": ""Reflete Dano / Reviver / Regeneração de Vida"",
          ""items"": [55,15,77]
        },
        {
          ""name"": ""Debuffer (velocidade de ataque) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [59,66,77]
        }
      ]";;
;;;;Pyke;"""Mana Generation / Mana Generation / Attack Speed""";"""Geração de Mana / Geração de Mana / Velocidade de Ataque""";Spear of Shojin;Spear of Shojin;Guinsoo's Rageblade;"""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)""";"""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)""";Spear of Shojin;Spear of Shojin;Morellonomicon;"""Mana Generation / Attack Damage / Life on Hit / Critical Damage / Critical Chance""";"""Geração de Mana / Dano de Ataque / Vida ao acertar / Dano Crítico / Chance de Crítico""";Spear of Shojin;Hand of Justice;Infinity Edge;14;14;23;[14,14,23];14;14;37;[14,14,37];14;49;19;[14,49,19];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [14,14,37]
        },
        {
          ""name"": ""Mana Generation / Attack Damage / Life on Hit / Critical Damage / Critical Chance"",
          ""items"": [14,49,19]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [14,14,37]
        },
        {
          ""name"": ""Mana Generation / Attack Damage / Life on Hit / Critical Damage / Critical Chance"",
          ""items"": [14,49,19]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [14,14,37]
        },
        {
          ""name"": ""Geração de Mana / Dano de Ataque / Vida ao acertar / Dano Crítico / Chance de Crítico"",
          ""items"": [14,49,19]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [14,14,37]
        },
        {
          ""name"": ""Geração de Mana / Dano de Ataque / Vida ao acertar / Dano Crítico / Chance de Crítico"",
          ""items"": [14,49,19]
        }
      ]";;
;;;;Rek'Sai;"""HP Regeneration / Revive / Debuffer (Slow)""";"""Regeneração de Vida / Reviver / Debuffer (Lentidão)""";Warmog's Armor;Guardian Angel;Frozen Heart;"""HP Regeneration / Splash Damage / HP Regeneration""";"""Regeneração de Vida / Dano em área / Regeneração de Vida""";Warmog's Armor;Titanic Hydra;Warmog's Armor;"""Debuffer (Slow) / HP Regeneration / Splash Damage""";"""Debuffer (Lentidão) / Regeneração de Vida / Dano em área""";Frozen Heart;Warmog's Armor;Titanic Hydra;77;15;45;[77,15,45];77;27;77;[77,27,77];45;77;27;[45,77,27];"""bestSets"": [
        {
          ""name"": ""HP Regeneration / Revive / Debuffer (Slow)"",
          ""items"": [77,15,45]
        },
        {
          ""name"": ""HP Regeneration / Splash Damage / HP Regeneration"",
          ""items"": [77,27,77]
        },
        {
          ""name"": ""Debuffer (Slow) / HP Regeneration / Splash Damage"",
          ""items"": [45,77,27]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""HP Regeneration / Revive / Debuffer (Slow)"",
          ""items"": [77,15,45]
        },
        {
          ""name"": ""HP Regeneration / Splash Damage / HP Regeneration"",
          ""items"": [77,27,77]
        },
        {
          ""name"": ""Debuffer (Slow) / HP Regeneration / Splash Damage"",
          ""items"": [45,77,27]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Regeneração de Vida / Reviver / Debuffer (Lentidão)"",
          ""items"": [77,15,45]
        },
        {
          ""name"": ""Regeneração de Vida / Dano em área / Regeneração de Vida"",
          ""items"": [77,27,77]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Regeneração de Vida / Dano em área"",
          ""items"": [45,77,27]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Regeneração de Vida / Reviver / Debuffer (Lentidão)"",
          ""items"": [77,15,45]
        },
        {
          ""name"": ""Regeneração de Vida / Dano em área / Regeneração de Vida"",
          ""items"": [77,27,77]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Regeneração de Vida / Dano em área"",
          ""items"": [45,77,27]
        }
      ]";;
;;;;Rengar;"""Revive / Life Steal / Critical Damage / Critical Chance""";"""Reviver / Roubo de Vida / Dano Crítico / Chance de Crítico""";Guardian Angel;The Bloodthirster;Infinity Edge;"""Attack Speed / Critical Damage / Critical Chance / Life Steal""";"""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Roubo de Vida""";Guinsoo's Rageblade;Infinity Edge;The Bloodthirster;"""Critical Damage / Critical Chance / Attack Speed / Buffer (Double Range) / Attack Damage / Life on Hit""";"""Dano Crítico / Chance de Crítico / Velocidade de Ataque / Buffer (Dobra Alcance) / Dano de Ataque / Vida ao acertar""";Infinity Edge;Rapid Firecannon;Hand of Justice;15;16;19;[15,16,19];23;19;16;[23,19,16];19;22;49;[19,22,49];"""bestSets"": [
        {
          ""name"": ""Revive / Life Steal / Critical Damage / Critical Chance"",
          ""items"": [15,16,19]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / Life Steal"",
          ""items"": [23,19,16]
        },
        {
          ""name"": ""Critical Damage / Critical Chance / Attack Speed / Buffer (Double Range) / Attack Damage / Life on Hit"",
          ""items"": [19,22,49]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Revive / Life Steal / Critical Damage / Critical Chance"",
          ""items"": [15,16,19]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Critical Chance / Life Steal"",
          ""items"": [23,19,16]
        },
        {
          ""name"": ""Critical Damage / Critical Chance / Attack Speed / Buffer (Double Range) / Attack Damage / Life on Hit"",
          ""items"": [19,22,49]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reviver / Roubo de Vida / Dano Crítico / Chance de Crítico"",
          ""items"": [15,16,19]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Roubo de Vida"",
          ""items"": [23,19,16]
        },
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Velocidade de Ataque / Buffer (Dobra Alcance) / Dano de Ataque / Vida ao acertar"",
          ""items"": [19,22,49]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reviver / Roubo de Vida / Dano Crítico / Chance de Crítico"",
          ""items"": [15,16,19]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Crítico / Chance de Crítico / Roubo de Vida"",
          ""items"": [23,19,16]
        },
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Velocidade de Ataque / Buffer (Dobra Alcance) / Dano de Ataque / Vida ao acertar"",
          ""items"": [19,22,49]
        }
      ]";;
;;;;Sejuani;"""Mana Generation / Revive / Burn Damage / Debuffer (Prevent Heal)""";"""Geração de Mana / Reviver / Dano de Queimadura / Debuffer (Previne Cura)""";Spear of Shojin;Guardian Angel;Morellonomicon;"""Mana Generation / Revive / Debuffer (Slow)""";"""Geração de Mana / Reviver / Debuffer (Lentidão)""";Spear of Shojin;Guardian Angel;Frozen Heart;"""Mana Generation / HP Regeneration / Magic Resistance""";"""Geração de Mana / Regeneração de Vida / Resistência Mágica""";Seraph's Embrace;Warmog's Armor;Dragon's Claw;14;15;37;[14,15,37];14;15;45;[14,15,45];44;77;66;[44,77,66];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Revive / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [14,15,37]
        },
        {
          ""name"": ""Mana Generation / Revive / Debuffer (Slow)"",
          ""items"": [14,15,45]
        },
        {
          ""name"": ""Mana Generation / HP Regeneration / Magic Resistance"",
          ""items"": [44,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Revive / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [14,15,37]
        },
        {
          ""name"": ""Mana Generation / Revive / Debuffer (Slow)"",
          ""items"": [14,15,45]
        },
        {
          ""name"": ""Mana Generation / HP Regeneration / Magic Resistance"",
          ""items"": [44,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Reviver / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [14,15,37]
        },
        {
          ""name"": ""Geração de Mana / Reviver / Debuffer (Lentidão)"",
          ""items"": [14,15,45]
        },
        {
          ""name"": ""Geração de Mana / Regeneração de Vida / Resistência Mágica"",
          ""items"": [44,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Reviver / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [14,15,37]
        },
        {
          ""name"": ""Geração de Mana / Reviver / Debuffer (Lentidão)"",
          ""items"": [14,15,45]
        },
        {
          ""name"": ""Geração de Mana / Regeneração de Vida / Resistência Mágica"",
          ""items"": [44,77,66]
        }
      ]";;
;;;;Shen;"""HP Regeneration / Magic Resistance / Debuffer (attack speed)""";"""Regeneração de Vida / Resistência Mágica / Debuffer (velocidade de ataque)""";Warmog's Armor;Dragon's Claw;Iceborn Gauntlet;"""HP Regeneration / Magic Resistance / Revive""";"""Regeneração de Vida / Resistência Mágica / Reviver""";Warmog's Armor;Dragon's Claw;Guardian Angel;"""Debuffer (Slow) / Magic Resistance / HP Regeneration""";"""Debuffer (Lentidão) / Resistência Mágica / Regeneração de Vida""";Frozen Heart;Dragon's Claw;Warmog's Armor;77;66;59;[77,66,59];77;66;15;[77,66,15];45;66;77;[45,66,77];"""bestSets"": [
        {
          ""name"": ""HP Regeneration / Magic Resistance / Debuffer (attack speed)"",
          ""items"": [77,66,59]
        },
        {
          ""name"": ""HP Regeneration / Magic Resistance / Revive"",
          ""items"": [77,66,15]
        },
        {
          ""name"": ""Debuffer (Slow) / Magic Resistance / HP Regeneration"",
          ""items"": [45,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""HP Regeneration / Magic Resistance / Debuffer (attack speed)"",
          ""items"": [77,66,59]
        },
        {
          ""name"": ""HP Regeneration / Magic Resistance / Revive"",
          ""items"": [77,66,15]
        },
        {
          ""name"": ""Debuffer (Slow) / Magic Resistance / HP Regeneration"",
          ""items"": [45,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Regeneração de Vida / Resistência Mágica / Debuffer (velocidade de ataque)"",
          ""items"": [77,66,59]
        },
        {
          ""name"": ""Regeneração de Vida / Resistência Mágica / Reviver"",
          ""items"": [77,66,15]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [45,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Regeneração de Vida / Resistência Mágica / Debuffer (velocidade de ataque)"",
          ""items"": [77,66,59]
        },
        {
          ""name"": ""Regeneração de Vida / Resistência Mágica / Reviver"",
          ""items"": [77,66,15]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [45,66,77]
        }
      ]";;
