ITEM,ID,IMAGEM,,Champion,NAME S1,DESCR S1,S1I1,S1I2,S1I3,NAME S2,DESCR S2,S2I1,S2I2,S2I3,NAME S3,DESCR S3,S3I1,S3I2,S3I3,ID S1I1,ID S1I2,ID S1I3,CONC,ID S2I1,ID S2I2,ID S2I3,CONC,ID S3I1,ID S3I2,ID S3I3,CONC,CODE,Tabulado,,,
Yuumi,38,,,Shen,"""Survivability / Reflect Damage""","""Item set focused on survivability, reflect damage on mitigated damage and immunity to critical""",Thornmail,Dragon's Claw,Phantom Dancer,"""Survivability""","""Item set focused on survivability (max HP and HP regeneration), magic resistance and immunity to critical""",Warmog's Armor,Dragon's Claw,Phantom Dancer,"""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,55,66,25,"[55,66,25]",77,66,25,"[77,66,25]",45,66,25,"[45,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Reflect Damage"",
          ""description"": ""Item set focused on survivability, reflect damage on mitigated damage and immunity to critical"",
          ""items"": [55,66,25]
        },
        {
          ""name"": ""Survivability"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), magic resistance and immunity to critical"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Reflect Damage"",
          ""description"": ""Item set focused on survivability, reflect damage on mitigated damage and immunity to critical"",
          ""items"": [55,66,25]
        },
        {
          ""name"": ""Survivability"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), magic resistance and immunity to critical"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Zeke's Herald,17,,,Shyvana,"""Survivability / Life Regeneration / Reflect Damage""","""Item set focused on survivability (max HP and HP regeneration), life steal and reflect damage from mitigated attacks""",Hextech Gunblade,Warmog's Armor,Thornmail,"""Survivability / Attack Speed""","""Item set focused on strong survivability (hp and hp regen) and attack speed""",Guinsoo's Rageblade,Phantom Dancer,Warmog's Armor,"""Survivability / Attack Speed""","""Item set focused on strong HP survivability, attack speed and max HP damage""",Titanic Hydra,Warmog's Armor,Phantom Dancer,13,77,55,"[13,77,55]",23,25,77,"[23,25,77]",27,77,25,"[27,77,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Regeneration / Reflect Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), life steal and reflect damage from mitigated attacks"",
          ""items"": [13,77,55]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on strong survivability (hp and hp regen) and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Regeneration / Reflect Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), life steal and reflect damage from mitigated attacks"",
          ""items"": [13,77,55]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on strong survivability (hp and hp regen) and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Zephyr,67,,,Swain,"""Survivability / Burn Damage / Life Regeneration / Revive""","""Item set focused on survivability (max HP and HP regeneration), revive and burn damage on spell cast""",Morellonomicon,Guardian Angel,Warmog's Armor,"""Mana Generation / Ability Damage / Survivability""","""Item set focused on survivability (hp and hp regen), mana generation and ability / spell damage""",Seraph's Embrace,Rabadon's Deathcap,Warmog's Armor,"""Survivability / Revival""","""Item set focused on survivability and some attack damage and attack speed""",Guardian Angel,Dragon's Claw,Phantom Dancer,37,15,77,"[37,15,77]",44,33,77,"[44,33,77]",15,66,25,"[15,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Burn Damage / Life Regeneration / Revive"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), revive and burn damage on spell cast"",
          ""items"": [37,15,77]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Survivability"",
          ""description"": ""Item set focused on survivability (hp and hp regen), mana generation and ability / spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Burn Damage / Life Regeneration / Revive"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), revive and burn damage on spell cast"",
          ""items"": [37,15,77]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Survivability"",
          ""description"": ""Item set focused on survivability (hp and hp regen), mana generation and ability / spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Tristana,"""Debuffer / Burn Damage""","""Item set focused on debbuf enemies and burn damage on attack""",Red Buff,Hush,Cursed Blade,"""Attack Speed / Burn Damage""","""Item set focused on strong attack speed and burn damage""",Guinsoo's Rageblade,Rapid Firecannon,Red Buff,"""Survivability / Disarm / Attack Speed / Burn Damage""","""Item set focused on survivability, attack speed, disarm and burn damage""",Red Buff,Sword Breaker,Rapid Firecannon,57,46,26,"[57,46,26]",23,22,57,"[23,22,57]",57,56,22,"[57,56,22]","""bestSets"": [
        {
          ""name"": ""Debuffer / Burn Damage"",
          ""description"": ""Item set focused on debbuf enemies and burn damage on attack"",
          ""items"": [57,46,26]
        },
        {
          ""name"": ""Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on strong attack speed and burn damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Debuffer / Burn Damage"",
          ""description"": ""Item set focused on debbuf enemies and burn damage on attack"",
          ""items"": [57,46,26]
        },
        {
          ""name"": ""Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on strong attack speed and burn damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Twistedfate,"""Splash Damage / Attack Speed""","""Item set focused on Splash Damage on Attack and Spell and attack speed""",Statikk Shiv,Statikk Shiv,Luden's Echo,"""Attack Speed / Splash Damage / Mana Generation""","""Item set focused on attack speed, splash damage and mana generation""",Guinsoo's Rageblade,Statikk Shiv,Spear of Shojin,"""Mana Generation / Attack Speed / Attack Damage""","""Item set focused on strong mana generation, attack damage and attack speed""",Spear of Shojin,Spear of Shojin,Guinsoo's Rageblade,24,24,34,"[24,24,34]",23,24,14,"[23,24,14]",14,14,23,"[14,14,23]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on Splash Damage on Attack and Spell and attack speed"",
          ""items"": [24,24,34]
        },
        {
          ""name"": ""Attack Speed / Splash Damage / Mana Generation"",
          ""description"": ""Item set focused on attack speed, splash damage and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on Splash Damage on Attack and Spell and attack speed"",
          ""items"": [24,24,34]
        },
        {
          ""name"": ""Attack Speed / Splash Damage / Mana Generation"",
          ""description"": ""Item set focused on attack speed, splash damage and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Varus,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on splash damage and attack speed""",Statikk Shiv,Statikk Shiv,Statikk Shiv,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Guinsoo's Rageblade,Spear of Shojin,Rabadon's Deathcap,"""Splash Damage / Mana Generation""","""Item set focused on strong mana Generation and splash damage""",Luden's Echo,Seraph's Embrace,Spear of Shojin,24,24,24,"[24,24,24]",23,14,33,"[23,14,33]",34,44,14,"[34,44,14]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on splash damage and attack speed"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on splash damage and attack speed"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Vayne,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on splash damage and attack speed""",Statikk Shiv,Statikk Shiv,Statikk Shiv,"""Attack Speed / Life Steal / Critical Damage""","""Item set focused on strong attack speed, critical damage and spell damage""",Guinsoo's Rageblade,The Bloodthirster,Rapid Firecannon,"""Attack Speed / Spell Damage""","""Item set focused on strong attack speed and spell damage""",Guinsoo's Rageblade,Guinsoo's Rageblade,Rapid Firecannon,24,24,24,"[24,24,24]",23,16,22,"[23,16,22]",23,23,22,"[23,23,22]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on splash damage and attack speed"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Attack Speed / Life Steal / Critical Damage"",
          ""description"": ""Item set focused on strong attack speed, critical damage and spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on splash damage and attack speed"",
          ""items"": [24,24,24]
        },
        {
          ""name"": ""Attack Speed / Life Steal / Critical Damage"",
          ""description"": ""Item set focused on strong attack speed, critical damage and spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Veigar,"""Mana Generation""","""Item set focused on strong mana generation and some attack damage""",Spear of Shojin,Spear of Shojin,Seraph's Embrace,"""Mana Generation / Ability Damage"" ","""Item set focused on strong mana generation and ability / spell damage""",Spear of Shojin,Rabadon's Deathcap,Seraph's Embrace,"""Mana Generation""","""Item set focused on strong mana generation and some attack damage""",Seraph's Embrace,Seraph's Embrace,Spear of Shojin,14,14,44,"[14,14,44]",14,33,44,"[14,33,44]",44,44,14,"[44,44,14]","""bestSets"": [
        {
          ""name"": ""Mana Generation"",
          ""description"": ""Item set focused on strong mana generation and some attack damage"",
          ""items"": [14,14,44]
        },
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and ability / spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation"",
          ""description"": ""Item set focused on strong mana generation and some attack damage"",
          ""items"": [14,14,44]
        },
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and ability / spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Vi,"""Survivability / Revive / Debuffer""","""Item set focused on survivability (max HP and HP regeneration), revive and debuff enemies""",Frozen Heart,Warmog's Armor,Guardian Angel,"""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,"""Survivability / Splash Damage""","""Item set focused on heavy HP survivability (max HP and HP regen) and splash damage based on max HP""",Titanic Hydra,Warmog's Armor,Warmog's Armor,45,77,15,"[45,77,15]",45,66,25,"[45,66,25]",27,77,77,"[27,77,77]","""bestSets"": [
        {
          ""name"": ""Survivability / Revive / Debuffer"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), revive and debuff enemies"",
          ""items"": [45,77,15]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Revive / Debuffer"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration), revive and debuff enemies"",
          ""items"": [45,77,15]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Volibear,"""Survivability / Disarm / Attack Speed / Burn Damage""","""Item set focused on survivability, attack speed, disarm and burn damage""",Rapid Firecannon,Rapid Firecannon,Red Buff,"""Survivability / Life Steal / HP Damage""","""Item set focused on survivability, Life Steal and max HP damage""",Guinsoo's Rageblade,Titanic Hydra,Warmog's Armor,"""Survivability / Disarm / Attack Speed / Burn Damage""","""Item set focused on survivability, attack speed, disarm and burn damage""",Rapid Firecannon,Red Buff,Sword Breaker,22,22,57,"[22,22,57]",23,27,77,"[23,27,77]",22,57,56,"[22,57,56]","""bestSets"": [
        {
          ""name"": ""Survivability / Disarm / Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on survivability, attack speed, disarm and burn damage"",
          ""items"": [22,22,57]
        },
        {
          ""name"": ""Survivability / Life Steal / HP Damage"",
          ""description"": ""Item set focused on survivability, Life Steal and max HP damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Disarm / Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on survivability, attack speed, disarm and burn damage"",
          ""items"": [22,22,57]
        },
        {
          ""name"": ""Survivability / Life Steal / HP Damage"",
          ""description"": ""Item set focused on survivability, Life Steal and max HP damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Warwick,"""Survivability / Debuff / HP Damage""","""Item set focused on strong survivability (max HP and HP regeneration) and enemy debuff""",Frozen Heart,Warmog's Armor,Warmog's Armor,"""Survivability / HP Damage""","""Item set focused on strong survivability and max HP damage""",Phantom Dancer,Titanic Hydra,Warmog's Armor,"""Survivability / Debuff / HP Damage""","""Item set focused on strong survivability, enemy debuff and max HP damage""",Frozen Heart,Warmog's Armor,Titanic Hydra,45,77,77,"[45,77,77]",25,27,77,"[25,27,77]",45,77,27,"[45,77,27]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuff / HP Damage"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regeneration) and enemy debuff"",
          ""items"": [45,77,77]
        },
        {
          ""name"": ""Survivability / HP Damage"",
          ""description"": ""Item set focused on strong survivability and max HP damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuff / HP Damage"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regeneration) and enemy debuff"",
          ""items"": [45,77,77]
        },
        {
          ""name"": ""Survivability / HP Damage"",
          ""description"": ""Item set focused on strong survivability and max HP damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Yasuo,"""Mana Generation / Survivability""","""Item set focused on mana generation and survivability""",Seraph's Embrace,Dragon's Claw,Phantom Dancer,"""Survivability / Attack Speed / Mana Generation""","""Item set focused on survivability, mana generation and attacks speed""",Guinsoo's Rageblade,Seraph's Embrace,Warmog's Armor,"""Mana Generation / Survivability / Life Steal""","""Item set focused on survivability (max HP and HP regeneration), mana generation and Life Steal""",Seraph's Embrace,Warmog's Armor,Hextech Gunblade,44,66,25,"[44,66,25]",23,44,77,"[23,44,77]",44,77,13,"[44,77,13]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Survivability"",
          ""description"": ""Item set focused on mana generation and survivability"",
          ""items"": [44,66,25]
        },
        {
          ""name"": ""Survivability / Attack Speed / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and attacks speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Survivability"",
          ""description"": ""Item set focused on mana generation and survivability"",
          ""items"": [44,66,25]
        },
        {
          ""name"": ""Survivability / Attack Speed / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and attacks speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,Zed,"""Attack Speed / Critical Damage / Survivability""","""Item set focused on attack speed, critical damage and some survivability""",Infinity Edge,Rapid Firecannon,Phantom Dancer,"""Critical Damage / Attack Damage / Attack Speed""","""Item set focused on strong critical damage, attack damage and attack speed""",Infinity Edge,Sword of the Divine,Guinsoo's Rageblade,"""Critical Damage / Attack Speed / Life Steal""","""Item set focused on attack speed, critical damage and life steal""",Guinsoo's Rageblade,Infinity Edge,The Bloodthirster,11,22,25,"[11,22,25]",11,12,23,"[11,12,23]",23,11,16,"[23,11,16]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Critical Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, critical damage and some survivability"",
          ""items"": [11,22,25]
        },
        {
          ""name"": ""Critical Damage / Attack Damage / Attack Speed"",
          ""description"": ""Item set focused on strong critical damage, attack damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Critical Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, critical damage and some survivability"",
          ""items"": [11,22,25]
        },
        {
          ""name"": ""Critical Damage / Attack Damage / Attack Speed"",
          ""description"": ""Item set focused on strong critical damage, attack damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
